date,air_carrier,air_taxi,general_aviatiion,military,itinerant_total,local_civil,local_military,local_total,total_operations
7/1/13,"36,183","24,931","33,452","3,837","98,403","29,505","3,984","33,489","131,892"
7/2/13,"37,287","26,015","36,629","4,945","104,876","33,625","4,638","38,263","143,139"
7/3/13,"38,554","28,164","42,585","3,263","112,566","36,294","4,015","40,309","152,875"
7/4/13,"29,073","18,149","25,668",437,"73,327","19,425",213,"19,638","92,965"
7/5/13,"33,321","23,504","34,112",666,"91,603","31,576",541,"32,117","123,720"
7/6/13,"32,852","22,991","36,325",515,"92,683","30,443",190,"30,633","123,316"
7/7/13,"35,256","25,202","39,361",572,"100,391","24,747",250,"24,997","125,388"
7/8/13,"37,601","27,327","40,135","3,769","108,832","37,287","3,960","41,247","150,079"
7/9/13,"38,271","27,855","41,959","5,187","113,272","37,566","5,527","43,093","156,365"
7/10/13,"37,378","27,359","43,269","4,859","112,865","41,124","5,743","46,867","159,732"
7/11/13,"39,538","29,078","45,180","4,659","118,455","40,504","5,614","46,118","164,573"
7/12/13,"39,080","28,018","46,619","4,496","118,213","38,360","4,077","42,437","160,650"
7/13/13,"33,886","22,264","38,955","2,296","97,401","32,683","1,754","34,437","131,838"
7/14/13,"36,398","24,360","38,738","1,945","101,441","27,590","1,279","28,869","130,310"
7/15/13,"37,930","27,585","39,674","4,239","109,428","35,147","4,571","39,718","149,146"
7/16/13,"38,730","28,389","44,968","4,933","117,020","39,883","5,801","45,684","162,704"
7/17/13,"38,715","29,027","45,808","5,042","118,592","40,554","5,783","46,337","164,929"
7/18/13,"39,753","29,894","48,036","5,661","123,344","42,084","6,238","48,322","171,666"
7/19/13,"38,902","29,409","46,472","3,986","118,769","37,165","3,556","40,721","159,490"
7/20/13,"33,724","22,672","37,217","1,760","95,373","32,647","1,316","33,963","129,336"
7/21/13,"36,098","24,205","38,556","1,546","100,405","27,931",821,"28,752","129,157"
7/22/13,"37,255","27,192","38,241","3,540","106,228","34,089","4,222","38,311","144,539"
7/23/13,"38,306","28,576","43,059","4,874","114,815","37,913","5,134","43,047","157,862"
7/24/13,"39,118","29,407","49,293","5,197","123,015","42,779","4,883","47,662","170,677"
7/25/13,"39,630","30,046","49,733","5,562","124,971","38,857","5,391","44,248","169,219"
7/26/13,"39,243","29,444","46,557","4,190","119,434","36,509","3,309","39,818","159,252"
7/27/13,"33,694","23,366","41,578","1,332","99,970","31,902",809,"32,711","132,681"
7/28/13,"35,362","24,563","39,043","1,338","100,306","23,199",368,"23,567","123,873"
7/29/13,"37,889","27,207","43,202","4,161","112,459","35,796","4,036","39,832","152,291"
7/30/13,"38,708","28,688","47,421","5,265","120,082","40,718","5,416","46,134","166,216"
7/31/13,"39,140","28,859","45,873","5,116","118,988","36,778","6,346","43,124","162,112"
8/1/13,"39,251","29,215","46,939","5,105","120,510","34,100","5,958","40,058","160,568"
8/2/13,"39,361","28,912","48,025","4,325","120,623","37,644","3,207","40,851","161,474"
8/3/13,"33,623","22,955","38,737","1,988","97,303","30,294","1,164","31,458","128,761"
8/4/13,"36,158","24,764","43,023","1,821","105,766","25,483",967,"26,450","132,216"
8/5/13,"37,878","27,334","42,078","4,031","111,321","33,954","4,262","38,216","149,537"
8/6/13,"38,654","28,610","42,520","4,876","114,660","37,180","5,706","42,886","157,546"
8/7/13,"38,855","29,047","42,856","5,074","115,832","36,536","5,199","41,735","157,567"
8/8/13,"38,973","29,361","43,452","4,856","116,642","35,638","5,622","41,260","157,902"
8/9/13,"39,249","29,007","41,937","3,900","114,093","32,779","4,025","36,804","150,897"
8/10/13,"33,611","23,283","42,209","1,509","100,612","36,322","1,215","37,537","138,149"
8/11/13,"35,647","25,207","41,809","1,285","103,948","29,504",757,"30,261","134,209"
8/12/13,"37,129","28,011","40,594","4,023","109,757","34,360","4,659","39,019","148,776"
8/13/13,"37,524","27,957","40,764","4,573","110,818","33,357","5,371","38,728","149,546"
8/14/13,"38,144","28,788","47,260","5,418","119,610","38,999","6,689","45,688","165,298"
8/15/13,"39,163","29,035","49,753","5,407","123,358","39,935","5,626","45,561","168,919"
8/16/13,"38,798","28,264","46,703","4,084","117,849","35,486","5,036","40,522","158,371"
8/17/13,"32,301","21,914","41,162","1,332","96,709","32,113","1,189","33,302","130,011"
8/18/13,"35,359","24,030","38,712","1,607","99,708","25,621","1,105","26,726","126,434"
8/19/13,"37,109","27,090","39,996","4,322","108,517","34,205","4,809","39,014","147,531"
8/20/13,"37,350","27,538","45,591","5,039","115,518","38,514","5,137","43,651","159,169"
8/21/13,"37,808","27,285","44,942","5,155","115,190","36,167","6,570","42,737","157,927"
8/22/13,"38,194","27,722","43,610","5,427","114,953","36,794","6,021","42,815","157,768"
8/23/13,"38,318","28,632","46,966","4,945","118,861","39,179","4,823","44,002","162,863"
8/24/13,"31,341","21,158","43,479","1,789","97,767","35,387","1,500","36,887","134,654"
8/25/13,"34,586","22,831","40,889","1,537","99,843","26,560",898,"27,458","127,301"
8/26/13,"36,353","25,777","39,597","4,549","106,276","32,697","4,997","37,694","143,970"
8/27/13,"36,528","26,519","43,354","5,830","112,231","38,972","6,171","45,143","157,374"
8/28/13,"36,732","27,258","44,829","5,699","114,518","37,759","6,104","43,863","158,381"
8/29/13,"38,344","28,000","46,181","5,445","117,970","36,410","5,915","42,325","160,295"
8/30/13,"37,442","28,213","49,500","2,804","117,959","38,591","2,923","41,514","159,473"
8/31/13,"28,397","18,683","37,727",620,"85,427","29,802",667,"30,469","115,896"
9/1/13,"27,696","17,309","27,714",412,"73,131","20,308",430,"20,738","93,869"
9/2/13,"31,948","23,384","35,578",618,"91,528","25,259",413,"25,672","117,200"
9/3/13,"34,945","25,943","39,961","4,382","105,231","34,907","4,741","39,648","144,879"
9/4/13,"36,332","26,483","46,127","5,757","114,699","39,830","5,540","45,370","160,069"
9/5/13,"37,360","27,105","45,361","5,453","115,279","39,569","6,160","45,729","161,008"
9/6/13,"37,068","27,089","46,593","5,218","115,968","38,013","4,882","42,895","158,863"
9/7/13,"28,720","19,134","43,028","2,221","93,103","35,220","2,009","37,229","130,332"
9/8/13,"33,903","21,697","37,727","2,063","95,390","25,325","1,257","26,582","121,972"
9/9/13,"34,912","25,184","39,166","4,156","103,418","33,046","4,108","37,154","140,572"
9/10/13,"34,895","25,947","41,347","5,106","107,295","35,192","5,380","40,572","147,867"
9/11/13,"35,199","25,923","44,368","5,365","110,855","38,524","4,964","43,488","154,343"
9/12/13,"35,958","27,081","43,211","5,154","111,404","36,432","5,296","41,728","153,132"
