year,quarter,adjusted_revenue_B
2023,2,
2023,1,30.46682721742933
2022,4,32.217697820395756
2022,3,30.88014595293927
2022,2,30.520064256811253
2022,1,31.529260079859757
2021,4,34.03451158886951
2021,3,34.84767223214611
2021,2,40.135282300806786
2021,1,50.61401880873009
2020,4,19.88970423151639
2020,3,49.63237690179807
2020,2,48.46531786638324
2020,1,50.568789183116046
2019,4,55.59007284783674
2019,3,52.98669300784003
2019,2,53.55485271898901
2019,1,53.80774529704722
2018,4,58.281280365238636
2018,3,55.28339781095631
2018,2,47.20920321918813
2018,1,46.50835634772434
2017,4,51.585010465512475
2017,3,49.038664081776524
2017,2,49.62357396256455
2017,1,49.27027095869172
2016,4,52.875180423473275
2016,3,51.67547678811074
2016,2,51.29499323701964
2016,1,51.94227932407235
2015,4,54.333330852975365
2015,3,50.123813528336385
2015,2,42.21749754858824
2015,1,42.09932796598325
2014,4,44.75049810060814
2014,3,42.24824766522008
2014,2,41.70649534494405
2014,1,41.93920395441252
2013,4,43.41324974576161
2013,3,41.90624533950603
2013,2,41.91746916541044
2013,1,41.10536118879767
2012,4,43.29445960601217
2012,3,41.47985644340923
2012,2,41.988086962584646
2012,1,42.323046924042686
2011,4,43.94006567053068
2011,3,42.332732393372964
2011,2,42.57862990758543
2011,1,42.66695418115426
2010,4,43.65481291547091
2010,3,44.10999052367022
2010,2,43.128063175280424
2010,1,42.8017045825273
2009,4,43.389399302613114
2009,3,43.41363607739999
2009,2,43.2994417528617
2009,1,43.84949452068319
2008,4,44.2508771904789
2008,3,43.70593720718703
2008,2,43.0441918058634
2008,1,43.92421911880409
2007,4,44.08795706450323
2007,3,44.092926135546065
2007,2,43.17027587928121
2007,1,43.043202549768196
2006,4,24.0246878592666
2006,3,23.51850547067521
2006,2,23.7139917693445
2006,1,24.066655855855853
2005,4,20.015026371951215
2005,3,15.807961267605634
2005,2,16.188816863753214
2005,1,16.178826952922915
2004,4,16.113218339464005
2004,3,16.532762559241704
2004,2,16.405439114391143
2004,1,16.29744445037353
2003,4,16.09147845903418
2003,3,16.721686555075596
2003,2,17.007709090909092
2003,1,17.193438762214985
