,year,quarter,total_revenue_B,total_flights,ferrari_revenue
0,2023,2,,6711681,
1,2023,1,41.474,5950785,1.55
2,2022,4,43.999,5692795,1.46
3,2022,3,39.392,6517588,1.25
4,2022,2,40.19,6650777,1.36
5,2022,1,34.476,5951390,1.3
6,2021,4,37.678,5745995,1.33
7,2021,3,35.683,6489169,1.24
8,2021,2,26.752,6675200,1.23
9,2021,1,36.228,5953073,1.19
10,2020,4,35.952,5878012,1.3
11,2020,3,37.501,6530055,1.06
12,2020,2,19.371,6637607,0.64
13,2020,1,34.32,6020467,1.04
14,2019,4,39.715,5817413,1.04
15,2019,3,36.99,6560612,1.01
16,2019,2,38.853,6763891,1.12
17,2019,1,40.342,6172321,1.07
18,2018,4,41.793,5978077,0.97
19,2018,3,37.666,6796706,0.96
20,2018,2,38.92,6939794,1.08
21,2018,1,41.959,6282775,1.02
22,2017,4,41.326,6153272,1.01
23,2017,3,36.451,6986514,0.99
24,2017,2,39.853,7219650,1.05
25,2017,1,39.146,6529978,0.88
26,2016,4,38.654,6015820,0.88
27,2016,3,35.943,4018023,0.88
28,2016,2,39.485,5617321,0.99
29,2016,1,37.718,5366851,0.76
30,2015,4,40.251,5220747,0.81
31,2015,3,38.144,6473016,0.81
32,2015,2,37.263,6799173,0.86
33,2015,1,33.9,6302059,0.67
34,2014,4,35.87,6069244,0.91
35,2014,3,34.92,6829096,0.84
36,2014,2,37.411,7094930,0.99
37,2014,1,35.876,6378617,
38,2013,4,37.57,6329272,
39,2013,3,35.775,4778529,
