,year,quarter,case_shiller_index,number_of_disaster,consumer_confidence_index,business_confidence_index,c_e_s_housing,c_e_s_health,c_e_s_entertainment,ease_of_doing_business,wars_started
0,2023,2,299.715,299,97.15588333333335,98.87605666666666,,,,7,2
1,2023,1,891.6219999999998,232,97.34363666666667,98.94678333333336,,,,7,2
2,2022,4,893.875,283,96.83120333333333,99.18775,,,,7,5
3,2022,3,905.137,535,96.36462999999999,99.72872333333333,,,,7,5
4,2022,2,910.009,90,96.54876666666667,100.37963333333335,,,,7,5
5,2022,1,872.642,233,97.37966,101.00076666666666,,,,7,5
6,2021,4,832.077,179,98.01817666666666,101.52500000000002,22624.0,5452.0,3568.0,7,7
7,2021,3,800.4939999999999,592,98.73284666666666,101.5788,22624.0,5452.0,3568.0,7,7
8,2021,2,761.354,236,99.83494,101.76136666666666,22624.0,5452.0,3568.0,7,7
9,2021,1,726.8140000000001,955,99.41077333333334,101.77703333333334,22624.0,5452.0,3568.0,7,7
10,2020,4,699.323,373,99.20272333333332,101.21246666666667,21409.0,5177.0,2912.0,6,7
11,2020,3,667.893,1086,98.80780666666665,100.42147666666666,21409.0,5177.0,2912.0,6,7
12,2020,2,651.669,2273,98.75193666666667,98.59753666666666,21409.0,5177.0,2912.0,6,7
13,2020,1,646.9300000000001,5980,100.98610000000001,98.91442333333333,21409.0,5177.0,2912.0,6,7
14,2019,4,638.4580000000001,151,101.36273333333334,98.88392333333333,20679.0,5193.0,3090.0,8,5
15,2019,3,630.455,619,101.00503333333334,99.13352333333334,20679.0,5193.0,3090.0,8,5
16,2019,2,624.4169999999999,629,101.46573333333333,99.80017666666667,20679.0,5193.0,3090.0,8,5
17,2019,1,620.319,267,101.11650000000002,100.36416666666666,20679.0,5193.0,3090.0,8,5
18,2018,4,616.935,395,101.36113333333333,100.95333333333333,20091.0,4968.0,3226.0,6,3
19,2018,3,611.0400000000001,531,101.449,101.43743333333333,20091.0,4968.0,3226.0,6,3
20,2018,2,604.352,214,101.5124,101.25003333333332,20091.0,4968.0,3226.0,6,3
21,2018,1,597.469,44,101.5181,101.38063333333334,20091.0,4968.0,3226.0,6,3
22,2017,4,587.9359999999999,209,101.40910000000001,101.32553333333334,19884.0,4928.0,3203.0,7,7
23,2017,3,577.9010000000001,1005,101.18316666666665,101.15786666666668,19884.0,4928.0,3203.0,7,7
24,2017,2,568.86,264,101.21453333333334,100.63080000000001,19884.0,4928.0,3203.0,7,7
25,2017,1,562.116,190,101.36436666666667,100.70953333333334,19884.0,4928.0,3203.0,7,7
26,2016,4,554.2470000000001,376,100.89033333333333,100.01686000000001,18886.0,4612.0,2913.0,7,7
27,2016,3,545.508,122,100.5222,99.56677333333334,18886.0,4612.0,2913.0,7,7
28,2016,2,538.269,120,100.72386666666667,99.66082666666667,18886.0,4612.0,2913.0,7,7
29,2016,1,533.1,576,100.66536666666667,99.19020666666665,18886.0,4612.0,2913.0,7,7
30,2015,4,527.081,151,100.5853,98.96051333333332,18409.0,4342.0,2842.0,7,2
31,2015,3,518.894,288,100.6238,99.49534000000001,18409.0,4342.0,2842.0,7,2
32,2015,2,512.642,473,100.94563333333333,99.82402666666667,18409.0,4342.0,2842.0,7,2
33,2015,1,507.573,51,101.11630000000001,99.99702333333335,18409.0,4342.0,2842.0,7,2
34,2014,4,502.034,57,100.49063333333334,100.67476666666666,17798.0,4290.0,2728.0,4,7
35,2014,3,495.69800000000004,232,99.65031666666665,100.75343333333335,17798.0,4290.0,2728.0,4,7
36,2014,2,491.11499999999995,139,99.54681666666666,100.49923333333334,17798.0,4290.0,2728.0,4,7
37,2014,1,487.54499999999996,261,99.44440333333334,100.25880000000001,17798.0,4290.0,2728.0,4,7
38,2013,4,480.31,143,98.96692333333333,100.47250000000001,17148.0,3631.0,2482.0,4,6
39,2013,3,470.79499999999996,301,99.39184666666667,100.31506666666667,17148.0,3631.0,2482.0,4,6
40,2013,2,458.56399999999996,242,99.51736,99.61697,17148.0,3631.0,2482.0,4,6
41,2013,1,444.576,85,98.86066666666666,99.82041333333335,17148.0,3631.0,2482.0,4,6
42,2012,4,433.69100000000003,561,99.12223666666667,99.34278666666667,16887.0,3556.0,2605.0,4,6
43,2012,3,426.85799999999995,450,98.78919666666667,99.4174,16887.0,3556.0,2605.0,4,6
44,2012,2,420.34000000000003,192,98.79766333333333,99.85528666666666,16887.0,3556.0,2605.0,4,6
45,2012,1,411.04699999999997,89,98.69749666666667,100.03667,16887.0,3556.0,2605.0,4,6
46,2011,4,411.78099999999995,104,97.48821666666667,99.71647,16803.0,3313.0,2572.0,5,10
47,2011,3,417.707,1095,96.98169333333333,99.90482999999999,16803.0,3313.0,2572.0,5,10
48,2011,2,419.77599999999995,1054,98.13567333333333,100.68163333333332,16803.0,3313.0,2572.0,5,10
49,2011,1,421.855,437,98.49074666666667,101.37043333333334,16803.0,3313.0,2572.0,5,10
50,2010,4,426.764,98,98.2398,101.00676666666668,16557.0,3157.0,2504.0,4,4
51,2010,3,431.923,369,97.97413333333333,100.4701,16557.0,3157.0,2504.0,4,4
52,2010,2,438.51800000000003,506,98.46223666666667,100.96646666666668,16557.0,3157.0,2504.0,4,4
53,2010,1,438.885,662,98.49944666666666,101.12113333333332,16557.0,3157.0,2504.0,4,4
54,2009,4,443.912,100,98.17631999999999,100.3569,16895.0,3126.0,2693.0,3,9
55,2009,3,444.71000000000004,106,97.94230666666665,99.54467666666666,16895.0,3126.0,2693.0,3,9
56,2009,2,443.73299999999995,418,97.65950666666667,97.68327666666669,16895.0,3126.0,2693.0,3,9
57,2009,1,450.17999999999995,641,96.76035999999999,96.06124333333332,16895.0,3126.0,2693.0,3,9
58,2008,4,468.08500000000004,291,96.79428333333334,96.27655,17109.0,2976.0,2835.0,3,8
59,2008,3,485.86199999999997,886,97.19085333333334,98.62735000000002,17109.0,2976.0,2835.0,3,8
60,2008,2,500.014,514,96.99353,99.18959,17109.0,2976.0,2835.0,3,8
61,2008,1,514.7249999999999,609,98.27764666666667,99.03739333333333,17109.0,2976.0,2835.0,3,8
62,2007,4,526.113,421,99.07494333333334,99.21598999999999,16920.0,2853.0,2698.0,3,5
63,2007,3,534.7860000000001,291,99.87516666666666,99.60176000000001,16920.0,2853.0,2698.0,3,5
64,2007,2,544.864,396,100.18829999999998,99.86427666666667,16920.0,2853.0,2698.0,3,5
65,2007,1,553.263,532,100.6795,99.46333,16920.0,2853.0,2698.0,3,5
66,2006,4,550.945,118,100.73373333333332,99.41617333333333,16366.0,2766.0,2377.0,3,8
67,2006,3,548.461,153,99.86447,99.86401,16366.0,2766.0,2377.0,3,8
68,2006,2,551.992,155,99.76393,100.17973333333333,16366.0,2766.0,2377.0,3,8
69,2006,1,549.971,549,100.32326666666665,100.38256666666666,16366.0,2766.0,2377.0,3,8
70,2005,4,538.6170000000001,145,99.61426333333334,100.79803333333332,15167.0,2664.0,2388.0,2,4
71,2005,3,523.739,4052,100.08141333333333,100.56806666666667,15167.0,2664.0,2388.0,2,4
72,2005,2,508.04099999999994,110,100.62823333333334,100.07339333333333,15167.0,2664.0,2388.0,2,4
73,2005,1,490.44399999999996,429,100.89726666666667,100.54073333333334,15167.0,2664.0,2388.0,2,4
74,2004,4,472.607,101,100.98173333333334,100.90886666666665,13918.0,2574.0,2218.0,2,9
75,2004,3,458.15099999999995,1102,101.07180000000001,101.41363333333334,13918.0,2574.0,2218.0,2,9
76,2004,2,444.62699999999995,519,100.94869999999999,102.04283333333332,13918.0,2574.0,2218.0,2,9
77,2004,1,429.896,131,101.28120000000001,102.12103333333334,13918.0,2574.0,2218.0,2,9
78,2003,4,416.504,111,100.8267,101.51253333333334,13432.0,2416.0,2060.0,2,2
79,2003,3,405.039,523,100.4296,100.18315999999999,13432.0,2416.0,2060.0,2,2
80,2003,2,395.26700000000005,443,100.24913666666667,99.05802333333334,13432.0,2416.0,2060.0,2,2
81,2003,1,387.96299999999997,497,99.46269333333333,99.18097,13432.0,2416.0,2060.0,2,2
