year,quarter,total_revenue_B
2023,2,
2023,1,41.474
2022,4,43.999
2022,3,39.392
2022,2,40.19
2022,1,34.476
2021,4,37.678
2021,3,35.683
2021,2,26.752
2021,1,36.228
2020,4,35.952
2020,3,37.501
2020,2,19.371
2020,1,34.32
2019,4,39.715
2019,3,36.99
2019,2,38.853
2019,1,40.342
2018,4,41.793
2018,3,37.666
2018,2,38.92
2018,1,41.959
2017,4,41.326
2017,3,36.451
2017,2,39.853
2017,1,39.146
2016,4,38.654
2016,3,35.943
2016,2,39.485
2016,1,37.718
2015,4,40.251
2015,3,38.144
2015,2,37.263
2015,1,33.9
2014,4,35.87
2014,3,34.92
2014,2,37.411
2014,1,35.876
2013,4,37.57
2013,3,35.775
