year,quarter,adjusted_revenue_B
2023,2,
2023,1,8.814556514133503
2022,4,8.953929419771763
2022,3,8.645207305732999
2022,2,8.391987978846549
2022,1,8.107827230229839
2021,4,8.809576150816708
2021,3,9.065066348292078
2021,2,8.42234519462929
2021,1,7.683102081343415
2020,4,7.90668454433072
2020,3,7.267849239280775
2020,2,4.994472317365989
2020,1,7.092396799876023
2019,4,8.42993415676294
2019,3,8.021084947363091
2019,2,8.123756573476536
2019,1,7.573653197063751
2018,4,8.051779304470351
2018,3,7.614460127000978
2018,2,7.640165999309493
2018,1,7.372381408432644
2017,4,7.512500324512014
2017,3,7.046140289037716
2017,2,7.0499354575330155
2017,1,6.620262468160508
2016,4,7.241271123960369
2016,3,7.216115736368606
2016,2,6.633409786820901
2016,1,6.393487267565887
2015,4,6.927112694218369
2015,3,6.295930530164534
2015,2,6.239290976290448
2015,1,5.892355295423069
2014,4,6.237003219596954
2014,3,5.3579391759896815
2014,2,5.3125216599606455
2014,1,4.997066481021443
2013,4,5.551030727443585
2013,3,4.938578042186812
2013,2,4.8868869912292725
2013,1,4.653189802941062
2012,4,5.036402759569863
2012,3,4.403773697424883
2012,2,4.387608833962297
2012,1,4.25624607658506
2011,4,4.650886950973093
2011,3,4.074592730365949
2011,2,3.9604884326738197
2011,1,3.8093056692934524
2010,4,4.106559250658138
2010,3,3.966826253553623
2010,2,3.6534970752184974
2010,1,3.546947677490798
2009,4,3.8430207132239556
2009,3,3.41884150040052
2009,2,3.394925194605295
2009,1,3.3421433507750025
2008,4,3.802469604429476
2008,3,3.5143255188931497
2008,2,3.5835300596394206
2008,1,3.6151032651455544
2007,4,4.023843198308861
2007,3,3.570751402944985
2007,2,3.455965097527261
2007,1,3.357874965912189
2006,4,3.5681726461843404
2006,3,3.0074815179891567
2006,2,2.9473318876293737
2006,1,2.886166216216216
2005,4,2.9921766768292675
2005,3,2.5476908450704223
2005,2,2.509894087403599
2005,1,2.399201655457837
2004,4,2.549255438780872
2004,3,2.3296895734597154
2004,2,2.123056826568266
2004,1,2.018864247598719
2003,4,2.119042430819316
2003,3,1.7792533477321815
2003,2,1.7273454545454545
2003,1,1.573580618892508
